TP00033| Current| 20| 2021-12-12 17:46:13.284175
TP00033| Current| 10| 2021-12-12 17:46:43.999681
TP00033| Current| 100| 2021-12-12 21:28:05.151979
| Current| 150| 2021-12-12 22:01:24.147608
| Current| 100| 2021-12-12 22:01:43.876852
| Current| 200| 2021-12-17 01:06:49.067617
| Current| 100| 2021-12-17 01:07:00.123506
| Current| 50| 2021-12-17 01:07:14.275180
| Current| 100| 2021-12-20 14:50:32.841798
| Current| 10| 2021-12-20 14:51:06.433615
| Current| -100| 2021-12-20 14:51:25.417019
| Current| -100| 2021-12-20 14:52:01.786472
